Cu,Mn,Mg,Fe,Si,Zn,Zr,strength
3.7,0.30000000000000004,1.1,0.4,0.4000000000000001,0.0,0.0,379.08
3.7,0.4,1.4000000000000004,0.4,0.30000000000000004,0.30000000000000004,0.0,388.15
4.200000000000001,0.30000000000000004,1.2000000000000002,0.1,0.4000000000000001,0.30000000000000004,0.1,404.22
4.200000000000001,0.30000000000000004,1.0,0.1,0.30000000000000004,0.2,0.1,402.97
3.8,0.1,1.0,0.4,0.2,0.0,0.1,369.18
3.7,0.2,1.2000000000000002,0.30000000000000004,0.2,0.1,0.1,381.21
3.6,0.5,1.1,0.4,0.5000000000000001,0.0,0.30000000000000004,381.78
3.7,0.4,1.2000000000000002,0.4,0.30000000000000004,0.0,0.0,382.3
3.6,0.30000000000000004,1.0,0.4,0.4000000000000001,0.0,0.0,377.1
3.8,0.30000000000000004,1.2000000000000002,0.30000000000000004,0.2,0.0,0.30000000000000004,385.36
3.6,0.4,1.3000000000000005,0.4,0.30000000000000004,0.0,0.0,382.46
3.7,0.4,1.2000000000000002,0.4,0.5000000000000001,0.1,0.0,383.68
3.8,0.2,1.4000000000000004,0.30000000000000004,0.2,0.1,0.2,388.53
3.6,0.1,1.0,0.4,0.5000000000000001,0.0,0.0,364.33
4.200000000000001,0.1,1.3000000000000005,0.1,0.4000000000000001,0.2,0.1,400.97
3.8,0.2,1.0,0.30000000000000004,0.2,0.1,0.1,379.38
